name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tokyo,2025-01-17,48.8,34.1,40.9,44.7,30.5,35.9,20.2,45.2,0,0,0,,0,0,29.8,14.9,320.3,1017.4,2.7,14.3,143.4,12.4,6,10,2025-01-17T06:49:29,2025-01-17T16:52:32,0.6,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-18,47.9,35,40.2,45.8,29.8,37,21.1,46.6,0,0,0,,0,0,14.1,7.1,23.3,1023.6,6,13.4,131.9,11.3,5,10,2025-01-18T06:49:08,2025-01-18T16:53:32,0.63,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-19,47.4,35.3,42.4,47.4,31.2,39.9,27.3,55.5,0,0,0,rain,0,0,14.5,10.2,331.9,1020.8,69.7,11.1,120.2,10.3,5,10,2025-01-19T06:48:45,2025-01-19T16:54:33,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-20,56,41.3,48.4,56,38.4,47.6,39.1,71.1,0.02,100,8.33,rain,0,0,13,6,11.2,1012.3,61.5,9.6,108.8,9.4,5,10,2025-01-20T06:48:20,2025-01-20T16:55:34,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"47662099999,47671099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-21,55.9,45.6,48.9,55.9,42.5,47.7,39.6,71,0,0,0,rain,0,0,16.1,7,4.5,1015.3,56.5,11.6,78.8,6.9,3,10,2025-01-21T06:47:54,2025-01-21T16:56:36,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-22,54.8,40.3,46.9,54.8,35,45.4,26.5,46.2,0,0,0,,0,0,17.4,8,353.1,1020,5.6,13.4,150.3,13,6,10,2025-01-22T06:47:25,2025-01-22T16:57:37,0.75,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-23,56.5,40.7,47.5,56.5,37.5,46,35.3,63.2,0,0,0,,0,0,12.1,8.6,336.3,1021.6,40.9,9.5,132.8,11.6,5,10,2025-01-23T06:46:55,2025-01-23T16:58:39,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47727099999,47670099999,47642043313,47680099999,RJTI,RJTF,47679043319,47662099999,47687099999,47671099999,47643099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Tokyo,2025-01-24,56.9,41.2,48.6,56.9,36.5,47.2,35.8,62.8,0,0,0,rain,0,0,13.2,8.6,11.6,1021.3,16.5,9.8,139.4,12,6,10,2025-01-24T06:46:23,2025-01-24T16:59:42,0.83,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47671099999,47670099999,47686099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Tokyo,2025-01-25,48,41.5,44.5,44.7,37.7,41.7,34.9,70.3,0.019,100,4.17,rain,0,0,18.1,7.1,11.8,1020.7,62.5,11.2,53,4.6,2,10,2025-01-25T06:45:50,2025-01-25T17:00:44,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-26,53,38.5,44.5,53,33.3,41.6,24.5,46.6,0,0,0,,0,0,30,15.1,335.1,1017.8,1.6,14.4,158.7,13.6,6,10,2025-01-26T06:45:14,2025-01-26T17:01:47,0.89,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-27,49.2,36.8,43.4,48.4,33.4,41.2,27.6,54.4,0,0,0,,0,0,17,7.9,116.4,1014.7,44.6,13.5,118.1,10.2,5,10,2025-01-27T06:44:37,2025-01-27T17:02:50,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-28,55.2,40.7,47.1,55.2,37.4,45.4,30.4,52.4,0,0,0,rain,0,0,15.4,8.2,340.1,1007.5,25.9,11.9,138,11.9,6,10,2025-01-28T06:43:58,2025-01-28T17:03:53,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-29,53.3,38.2,44.7,53.3,33.4,42.2,19.8,37.9,0,0,0,,0,0,25.1,11.8,238.6,1009.6,2.9,13.4,163.9,14.1,6,10,2025-01-29T06:43:18,2025-01-29T17:04:55,0,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-30,51.8,35.4,43.6,51.8,34.2,42.1,20,41.3,0,0,0,,0,0,19.7,8.1,316.8,1013.2,2,14.3,159.7,13.7,6,10,2025-01-30T06:42:35,2025-01-30T17:05:58,0.02,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-01-31,53.8,37.1,44.8,53.8,33.8,42.6,19.7,37.7,0,0,0,,0,0,15.9,10.2,325.9,1019.5,5.4,14.3,161.2,14,6,10,2025-01-31T06:41:51,2025-01-31T17:07:01,0.06,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-01,52.4,38,45.3,52.4,31.7,43.4,26.8,49.1,0,0,0,,0,0,9.8,9.4,32.8,1021.2,20.6,12.4,152.9,13.4,6,10,2025-02-01T06:41:06,2025-02-01T17:08:04,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
