city,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,city.1,clothing_recommendation,season,sunrise_hour,sunset_hour,datetime_hour,month,date,day_of_week,msPlayed,genre,main_genre,temp_bin
Tokyo,2024-10-04,90.6,73.7,81.1,94.5,73.7,83.2,71.4,74.5,0.004,100.0,4.17,rain,0.0,0.0,18.1,8.1,176.6,1011.2,93.2,14.5,267.2,23.1,9,10.0,05:19:32,17:31:11,0.05,"rain, overcast",Cloudy skies throughout the day with afternoon rain.,rain,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-04,Friday,103913319,nan,afrobeats,"(73.42, 87.8]"
Tokyo,2024-10-05,93.5,72.9,81.6,96.0,72.9,83.2,69.6,70.1,0.016,100.0,12.5,rain,0.0,0.0,11.6,14.5,197.4,1010.5,95.0,15.0,277.3,24.0,10,10.0,05:19:02,17:31:05,0.08,"rain, overcast",Cloudy skies throughout the day with rain.,rain,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-05,Saturday,81419417,nan,Unknown,"(73.42, 87.8]"
Tokyo,2024-10-06,90.9,75.5,81.4,96.1,75.5,83.9,71.5,73.4,0.028,100.0,25.0,rain,0.0,0.0,16.1,8.1,180.8,1011.1,45.9,14.9,267.3,22.9,9,10.0,05:18:31,17:31:00,0.12,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-06,Sunday,27979680,nan,Unknown,"(73.42, 87.8]"
Tokyo,2024-10-07,90.8,72.6,80.9,94.3,72.6,82.7,71.4,75.4,0.02,100.0,12.5,rain,0.0,0.0,21.5,10.3,168.0,1012.9,54.9,15.0,276.5,24.0,10,10.0,05:18:01,17:30:55,0.15,"rain, partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-07,Monday,54552361,nan,afrobeats,"(73.42, 87.8]"
Tokyo,2024-10-08,89.9,73.5,80.7,95.1,73.5,83.1,72.1,77.0,0.0,0.0,0.0,Unknown,0.0,0.0,20.4,8.9,170.8,1012.4,78.0,15.0,254.2,21.8,9,10.0,05:17:31,17:30:51,0.18,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-08,Tuesday,33265955,nan,Unknown,"(73.42, 87.8]"
Tokyo,2024-10-09,92.0,72.4,81.0,96.5,72.4,83.1,71.5,75.9,0.0,0.0,0.0,Unknown,0.0,0.0,19.7,9.2,181.2,1011.1,47.4,15.0,247.3,21.4,9,10.0,05:17:02,17:30:47,0.22,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-09,Wednesday,12055556,nan,afrobeats,"(73.42, 87.8]"
Tokyo,2024-10-10,93.3,73.1,81.7,98.6,73.1,84.9,72.7,76.8,0.016,100.0,12.5,rain,0.0,0.0,18.8,8.9,187.1,1010.5,63.8,15.0,275.7,23.9,9,10.0,05:16:33,17:30:43,0.25,"rain, partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-10,Thursday,15424691,afrobeat,afrobeats,"(73.42, 87.8]"
Tokyo,2024-10-11,90.6,73.7,82.1,97.6,73.7,85.3,72.7,75.3,0.0,0.0,0.0,Unknown,0.0,0.0,15.4,6.3,166.2,1010.1,79.7,15.0,271.9,23.7,9,10.0,05:16:05,17:30:40,0.25,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-11,Friday,10066893,afrobeat,afrobeats,"(73.42, 87.8]"
Tokyo,2024-10-12,94.2,75.3,83.6,99.7,75.3,87.5,73.2,73.6,0.036,100.0,29.17,rain,0.0,0.0,17.9,8.3,171.2,1010.1,59.0,14.6,274.5,23.8,10,10.0,05:15:37,17:30:37,0.32,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-12,Saturday,40185482,nan,Unknown,"(73.42, 87.8]"
Tokyo,2024-10-13,98.9,75.6,84.5,100.4,75.6,86.6,69.9,66.3,0.048,100.0,20.83,rain,0.0,0.0,19.7,20.6,191.2,1009.3,72.1,15.0,313.8,27.2,10,10.0,05:15:10,17:30:35,0.35,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-13,Sunday,29222358,nan,Unknown,"(73.42, 87.8]"
