city,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,city.1,clothing_recommendation,season,sunrise_hour,sunset_hour,datetime_hour,month,date,day_of_week,msPlayed,genre,main_genre,temp_bin
Tokyo,2024-03-25,53.9,51.5,52.4,53.9,51.5,52.4,51.9,98.1,0.349,100.0,12.5,rain,0.0,0.0,10.1,6.9,329.3,1016.0,99.4,4.6,21.1,1.7,1,10.0,05:37:15,17:56:46,0.5,"rain, overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999",Unknown,"🧶 Hoodie or light jacket, jeans ☔ (Umbrella recommended)",Spring,5,17,0,March,2024-03-25,Monday,360683,nan,Unknown,"(44.66, 59.04]"
Lagos,2024-03-25,95.0,77.0,86.0,116.1,77.0,98.6,78.6,79.4,0.0,0.0,0.0,rain,0.0,0.0,21.0,17.2,220.0,1010.5,54.4,6.2,223.3,19.2,8,75.0,06:48:01,18:56:39,0.5,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5",Unknown,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,March,2024-03-25,Monday,360683,nan,Unknown,"(73.42, 87.8]"
New York,2024-03-25,51.2,34.9,42.6,51.2,28.0,37.5,21.5,43.8,0.0,0.0,0.0,Unknown,0.0,0.0,32.9,21.6,49.7,1029.9,8.4,9.9,255.5,22.0,8,10.0,06:50:10,19:14:08,0.5,clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732",Unknown,"🧥 Heavy coat, thermal wear, gloves, boots 🕶️ (Sunscreen & sunglasses)",Spring,6,19,0,March,2024-03-25,Monday,360683,nan,Unknown,"(30.28, 44.66]"
London,2024-03-25,53.7,42.5,48.6,53.7,40.9,46.9,38.6,69.2,0.0,0.0,0.0,Unknown,0.0,0.0,23.0,12.7,149.0,1000.2,72.4,10.0,88.1,7.5,3,22.128353498158862,05:50:50,18:22:54,0.5,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F6665,03781099999,03672099999,03772099999,03770099999",Unknown,"🧥 Coat or insulated jacket, boots",Spring,5,18,0,March,2024-03-25,Monday,360683,nan,Unknown,"(44.66, 59.04]"
Berlin,2024-03-25,48.6,37.9,43.1,44.0,34.1,38.1,38.4,84.2,0.176,100.0,54.17,rain,0.0,0.0,22.4,14.2,273.3,1003.5,79.8,20.0,82.8,7.3,4,22.128353498158862,05:56:24,18:29:21,0.5,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00427,03987,00403,E2835,00433,00400",Unknown,"🧥 Coat or insulated jacket, boots ☔ (Umbrella recommended)",Spring,5,18,0,March,2024-03-25,Monday,360683,nan,Unknown,"(30.28, 44.66]"
Lagos,2024-04-07,96.8,78.4,86.5,110.4,78.4,98.2,78.5,78.8,0.0,0.0,0.0,rain,0.0,0.0,21.5,16.1,237.6,1011.0,44.5,6.1,264.4,22.8,9,75.0,06:41:54,18:55:08,0.95,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-07,Sunday,9134568,gregorian chant,gregorian chant,"(73.42, 87.8]"
Lagos,2024-04-16,89.9,80.2,84.6,105.7,86.9,96.6,79.1,84.3,0.079,100.0,4.17,rain,0.0,0.0,17.9,10.3,227.2,1010.7,56.8,5.4,207.6,17.9,7,60.0,06:38:03,18:54:23,0.25,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-16,Tuesday,6901052,afropop,afrobeats,"(73.42, 87.8]"
Lagos,2024-04-17,91.7,77.4,84.5,108.3,77.4,96.1,79.0,84.2,0.008,100.0,8.33,rain,0.0,0.0,18.6,11.4,217.1,1009.3,57.5,7.9,214.1,18.6,7,75.0,06:37:39,18:54:19,0.29,"rain, partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-17,Wednesday,3566462,gregorian chant,gregorian chant,"(73.42, 87.8]"
Lagos,2024-04-19,95.0,83.2,87.8,116.1,95.8,104.1,80.2,78.8,0.02,100.0,16.67,rain,0.0,0.0,23.5,18.3,199.4,1010.2,58.6,7.3,242.0,20.8,8,75.0,06:36:53,18:54:13,0.35,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-19,Friday,83157,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-04-21,89.6,76.6,82.5,105.2,76.6,91.8,78.0,86.6,0.276,100.0,4.17,rain,0.0,0.0,61.1,18.3,229.8,1008.7,50.7,6.4,237.7,20.5,8,60.0,06:36:08,18:54:09,0.42,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-21,Sunday,24464890,nan,afrobeats,"(73.42, 87.8]"
Lagos,2024-04-23,89.6,73.4,81.6,100.3,73.4,87.9,75.4,82.6,0.433,100.0,8.33,rain,0.0,0.0,46.1,25.3,91.7,1010.5,50.1,4.8,97.4,8.5,4,75.0,06:35:26,18:54:06,0.48,"rain, partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended)",Spring,6,18,0,April,2024-04-23,Tuesday,5926455,nan,trap latino,"(73.42, 87.8]"
Lagos,2024-04-24,93.2,77.8,84.5,110.4,77.8,93.8,77.0,78.9,0.0,0.0,0.0,Unknown,0.0,0.0,17.7,12.8,172.3,1010.2,46.3,7.8,250.5,21.5,8,60.0,06:35:06,18:54:05,0.5,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-24,Wednesday,72917,german hip hop,Unknown,"(73.42, 87.8]"
Lagos,2024-04-27,95.0,80.6,86.5,112.9,88.1,100.6,79.5,80.7,0.0,0.0,0.0,rain,0.0,0.0,16.8,12.8,200.8,1008.1,52.0,6.2,208.3,18.0,7,75.0,06:34:08,18:54:04,0.62,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,April,2024-04-27,Saturday,3712003,afrobeat,afrobeats,"(73.42, 87.8]"
Lagos,2024-05-15,93.2,80.2,86.1,110.4,87.0,99.3,79.1,80.4,0.016,100.0,12.5,rain,0.0,0.0,18.3,12.8,190.3,1010.2,61.7,8.6,212.8,18.2,8,60.0,06:30:24,18:55:24,0.25,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,May,2024-05-15,Wednesday,12717790,afropiano,amapiano,"(73.42, 87.8]"
Lagos,2024-05-18,91.4,75.3,84.1,106.6,75.3,93.9,77.5,81.3,0.004,100.0,4.17,rain,0.0,0.0,51.9,46.1,149.0,1011.8,57.6,6.6,184.3,15.9,6,60.0,06:30:08,18:55:51,0.33,"rain, partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,May,2024-05-18,Saturday,187380,afrobeat,amapiano,"(73.42, 87.8]"
Lagos,2024-05-21,95.3,82.0,87.1,114.4,91.6,101.9,79.7,79.8,0.0,0.0,0.0,rain,0.0,0.0,19.7,17.2,187.8,1012.1,55.3,6.1,230.5,19.8,8,75.0,06:29:58,18:56:22,0.43,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,May,2024-05-21,Tuesday,5156666,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-05-22,87.8,73.4,81.5,102.4,73.4,89.3,77.0,86.5,2.087,100.0,8.33,rain,0.0,0.0,57.5,11.4,224.6,1012.6,61.5,7.3,180.6,15.5,6,75.0,06:29:57,18:56:33,0.46,"rain, partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,May,2024-05-22,Wednesday,27016841,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-05-23,91.4,77.0,84.2,110.9,77.0,94.7,78.4,83.4,0.0,0.0,0.0,rain,0.0,0.0,19.9,8.1,192.3,1011.9,43.6,5.9,223.8,19.2,7,60.0,06:29:56,18:56:44,0.5,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,May,2024-05-23,Thursday,13112254,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-05-24,93.2,78.8,83.5,113.5,78.8,94.4,79.0,86.8,0.354,100.0,4.17,rain,0.0,0.0,18.1,11.4,215.9,1012.0,63.7,6.5,179.0,15.4,6,60.0,06:29:55,18:56:56,0.53,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,18,0,May,2024-05-24,Friday,45898,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-09,88.1,77.0,81.3,103.2,77.0,87.6,77.0,87.0,0.036,100.0,12.5,rain,0.0,0.0,18.6,11.4,245.4,1013.6,60.6,6.8,174.0,15.0,7,30.0,06:31:13,19:00:32,0.09,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,June,2024-06-09,Sunday,4303152,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-10,89.7,78.4,83.0,105.2,78.4,90.7,77.7,84.7,0.039,100.0,4.17,rain,0.0,0.0,16.8,12.8,215.7,1013.8,68.0,6.7,184.2,16.0,6,30.0,06:31:23,19:00:47,0.13,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,June,2024-06-10,Monday,68374076,nan,afrobeats,"(73.42, 87.8]"
Lagos,2024-06-11,86.0,77.4,81.1,99.4,77.4,87.3,77.1,88.0,0.157,100.0,8.33,rain,0.0,0.0,15.2,13.9,227.4,1014.5,66.5,7.0,125.9,10.9,5,30.0,06:31:33,19:01:01,0.16,"rain, partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended)",Summer,6,19,0,June,2024-06-11,Tuesday,2818864,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-12,89.7,74.8,81.5,102.4,74.8,87.5,76.3,84.6,0.315,100.0,8.33,rain,0.0,0.0,17.2,13.9,232.0,1013.1,50.1,8.1,223.5,19.3,8,30.0,06:31:43,19:01:16,0.19,"rain, partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,June,2024-06-12,Wednesday,35120269,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-17,89.5,76.7,82.2,106.3,76.7,89.8,77.3,85.4,0.551,100.0,8.33,rain,0.0,0.0,17.2,30.0,226.6,1012.5,80.1,9.4,144.6,12.4,7,30.0,06:32:40,19:02:26,0.35,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,VRJT5,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,June,2024-06-17,Monday,5648090,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-18,87.7,77.0,81.8,114.5,77.0,89.0,77.7,87.7,0.048,100.0,25.0,rain,0.0,0.0,13.6,24.2,236.6,1012.5,56.2,7.3,215.9,18.6,7,30.0,06:32:52,19:02:40,0.38,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,June,2024-06-18,Tuesday,37802921,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-23,87.8,77.0,82.5,105.1,77.0,90.4,77.7,85.6,0.039,100.0,4.17,rain,0.0,0.0,17.9,13.9,251.7,1012.8,56.8,6.1,199.5,17.3,7,30.0,06:33:57,19:03:45,0.55,"rain, partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,June,2024-06-23,Sunday,1556124,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-24,87.8,75.2,79.5,99.9,75.2,83.0,75.9,89.3,0.236,100.0,4.17,rain,0.0,0.0,43.8,13.9,225.0,1012.4,60.0,5.5,189.1,16.5,7,30.0,06:34:11,19:03:57,0.59,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,June,2024-06-24,Monday,569075,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-25,81.4,75.0,77.9,90.4,75.0,80.2,74.7,90.1,1.181,100.0,4.17,rain,0.0,0.0,16.1,13.9,93.7,1012.4,67.4,3.4,78.1,6.7,4,30.0,06:34:24,19:04:08,0.62,"rain, partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65202099999,DNMM,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended)",Summer,6,19,0,June,2024-06-25,Tuesday,17757387,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-06-27,89.6,73.4,79.9,98.2,73.4,83.3,73.1,81.0,0.472,100.0,4.17,rain,0.0,0.0,18.3,11.4,177.0,1012.1,43.3,6.5,184.8,16.0,7,30.0,06:34:52,19:04:31,0.69,"rain, partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,June,2024-06-27,Thursday,23492989,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-02,85.9,75.2,79.9,98.9,75.2,83.7,76.9,90.6,0.276,100.0,4.17,rain,0.0,0.0,22.4,11.4,230.2,1012.8,80.8,6.9,111.2,9.7,4,30.0,06:36:01,19:05:19,0.87,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,VRJT5,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended)",Summer,6,19,0,July,2024-07-02,Tuesday,5028867,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-03,79.6,75.2,77.6,79.6,75.2,77.6,76.2,95.5,6.142,100.0,8.33,rain,0.0,0.0,19.0,12.8,219.8,1013.0,78.5,4.2,76.3,6.6,4,10.0,06:36:15,19:05:27,0.91,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended)",Summer,6,19,0,July,2024-07-03,Wednesday,21421387,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-04,86.0,75.0,80.1,97.2,75.0,84.9,75.6,86.7,0.0,0.0,0.0,rain,0.0,0.0,18.1,13.9,227.3,1014.1,50.9,5.2,161.2,14.1,7,10.0,06:36:28,19:05:34,0.95,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-04,Thursday,236858,afrobeat,afrobeat,"(73.42, 87.8]"
Lagos,2024-07-12,84.2,76.8,79.1,92.5,76.8,81.7,75.3,88.3,0.0,0.0,0.0,rain,0.0,0.0,20.8,11.4,231.1,1014.4,57.5,5.5,104.0,9.0,5,10.0,06:38:11,19:06:14,0.21,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses",Summer,6,19,0,July,2024-07-12,Friday,3431049,afro soul,afrobeats,"(73.42, 87.8]"
Lagos,2024-07-13,84.2,76.9,79.8,94.2,76.9,83.4,75.6,87.5,0.095,100.0,29.17,rain,0.0,0.0,22.6,10.3,221.2,1014.9,62.9,5.3,198.4,17.0,7,10.0,06:38:23,19:06:16,0.25,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-13,Saturday,2000346,afrobeat,afrobeats,"(73.42, 87.8]"
Lagos,2024-07-16,80.6,75.2,78.5,86.2,75.2,80.1,74.9,88.8,0.004,100.0,4.17,rain,0.0,0.0,22.4,11.4,235.2,1015.2,64.6,5.5,94.1,8.1,4,10.0,06:38:57,19:06:18,0.34,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended)",Summer,6,19,0,July,2024-07-16,Tuesday,24294864,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-17,80.9,77.0,78.8,86.5,77.0,80.2,74.9,88.1,0.0,0.0,0.0,rain,0.0,0.0,23.7,12.5,226.2,1014.6,69.9,7.4,142.1,12.2,5,10.0,06:39:07,19:06:17,0.37,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses",Summer,6,19,0,July,2024-07-17,Wednesday,20578334,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-21,82.5,75.2,78.6,89.4,75.2,80.5,73.9,86.1,0.197,100.0,4.17,rain,0.0,0.0,24.8,13.9,236.8,1015.1,59.3,5.7,190.5,16.4,6,10.0,06:39:45,19:06:07,0.5,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-21,Sunday,49577,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-22,86.0,75.2,79.0,95.2,75.2,81.6,73.7,84.2,0.0,0.0,0.0,rain,0.0,0.0,22.8,10.3,215.3,1016.2,53.1,6.2,199.0,17.1,7,10.0,06:39:54,19:06:03,0.54,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-22,Monday,20706130,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-23,84.2,75.0,78.7,90.9,75.0,80.7,73.2,83.6,0.0,0.0,0.0,rain,0.0,0.0,22.1,12.8,213.6,1017.1,53.2,5.9,212.7,18.3,7,10.0,06:40:02,19:05:58,0.57,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-23,Tuesday,33431348,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-24,84.5,73.4,79.0,92.5,73.4,82.0,73.7,84.3,0.0,0.0,0.0,rain,0.0,0.0,19.5,11.4,210.1,1016.7,55.1,5.7,210.5,18.2,7,10.0,06:40:10,19:05:52,0.61,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-24,Wednesday,70243414,new age,afrobeats,"(73.42, 87.8]"
Lagos,2024-07-25,84.2,76.6,80.0,92.5,76.6,83.5,74.2,82.9,0.0,0.0,0.0,rain,0.0,0.0,22.6,13.2,206.6,1015.6,61.3,6.6,237.1,20.4,7,10.0,06:40:17,19:05:46,0.64,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-25,Thursday,28371406,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-29,82.4,75.5,79.0,88.3,75.5,80.7,73.6,83.7,0.0,0.0,0.0,rain,0.0,0.0,22.1,12.8,205.7,1014.9,64.6,7.7,159.3,13.7,6,10.0,06:40:42,19:05:12,0.79,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-29,Monday,18203440,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-30,84.2,76.6,80.3,93.7,76.6,84.3,74.7,83.3,0.0,0.0,0.0,rain,0.0,0.0,26.2,12.8,205.6,1014.6,60.5,6.2,209.6,18.1,7,10.0,06:40:47,19:05:02,0.82,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-30,Tuesday,26838790,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-07-31,82.4,76.0,78.8,88.4,76.0,80.6,74.2,86.0,0.039,100.0,4.17,rain,0.0,0.0,23.3,12.8,205.5,1014.0,61.2,5.8,183.3,15.8,7,10.0,06:40:52,19:04:51,0.86,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,July,2024-07-31,Wednesday,25367192,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-08-02,84.6,75.2,79.3,92.8,75.2,81.6,73.7,83.4,0.035,100.0,4.17,rain,0.0,0.0,20.4,13.9,203.2,1014.3,61.5,5.9,207.1,17.9,7,10.0,06:40:59,19:04:26,0.93,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,August,2024-08-02,Friday,24053611,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-08-05,84.3,73.7,79.5,90.9,73.7,82.0,73.5,82.4,0.016,100.0,8.33,rain,0.0,0.0,22.1,13.9,217.9,1015.3,53.9,6.7,202.8,17.4,7,10.0,06:41:07,19:03:45,0.03,"rain, partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,August,2024-08-05,Monday,164554,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-08-06,84.2,75.5,79.3,90.9,75.5,81.6,73.3,82.2,0.0,0.0,0.0,rain,0.0,0.0,26.6,10.5,208.2,1014.0,57.1,6.6,215.5,18.6,8,10.0,06:41:09,19:03:29,0.07,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,August,2024-08-06,Tuesday,22950264,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-08-07,84.2,76.8,79.1,90.9,76.8,81.4,73.4,82.9,0.0,0.0,0.0,rain,0.0,0.0,26.4,15.0,213.9,1013.1,62.5,6.1,154.4,13.3,6,10.0,06:41:10,19:03:13,0.1,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5",Lagos,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,August,2024-08-07,Wednesday,17088906,nan,Unknown,"(73.42, 87.8]"
Lagos,2024-08-08,82.2,75.3,77.9,88.0,75.3,78.8,74.2,88.6,0.035,100.0,4.17,rain,0.0,0.0,22.8,12.8,224.1,1013.4,58.5,5.7,144.5,12.3,5,10.0,06:41:11,19:02:57,0.13,"rain, partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,65201099999",Lagos,"🩳 Shorts, tank top, hat, sunglasses ☔ (Umbrella recommended)",Summer,6,19,0,August,2024-08-08,Thursday,88462040,nan,afrobeats,"(73.42, 87.8]"
Lagos,2024-08-09,89.2,73.4,80.4,97.8,73.4,84.4,73.8,81.6,0.0,0.0,0.0,rain,0.0,0.0,21.0,11.4,213.7,1013.7,51.2,6.0,229.5,19.8,8,10.0,06:41:11,19:02:39,0.16,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999",Lagos,"🩳 Sleeveless, linen, sandals, drink water! 🕶️ (Sunscreen & sunglasses)",Summer,6,19,0,August,2024-08-09,Friday,25627423,nan,Unknown,"(73.42, 87.8]"
